```,click_start_Date,click_start_Time,Click_EndDate,Click_EndTime,AdID,DisplayDate,DisplayTime,,,
495,2007-6-30,17:31:38,2007-6-30,17:31:47,635215269,2007-6-30,17:31:05,,,
481,2007-6-30,22:43:35,2007-6-30,22:44:09,91964030,2007-6-30,22:43:06,,,
422,2007-7-1,05:17:34,2007-7-1,05:18:10,944760778,2007-7-1,05:17:01,,,
209,2007-7-4,23:12:41,2007-7-4,23:12:46,378737768,2007-7-4,23:12:13,,,
444,2007-7-5,05:48:24,2007-7-5,05:48:28,716155574,2007-7-5,05:47:59,,,
439,2007-7-6,00:07:26,2007-7-6,00:07:29,894297868,2007-7-6,00:07:23,,,
333,2007-7-6,14:42:17,2007-7-6,14:42:20,752648657,2007-7-6,14:42:02,,,
495,2007-7-6,20:31:31,2007-7-6,20:31:48,121507190,2007-7-6,20:31:29,,,
119,2007-7-7,17:58:39,2007-7-7,17:59:16,860795654,2007-7-7,17:58:04,,,
186,2007-7-9,00:07:26,2007-7-9,00:07:34,993487538,2007-7-9,00:07:05,,,
375,2007-7-9,21:03:09,2007-7-9,21:03:23,571345793,2007-7-9,21:02:59,,,
474,2007-7-9,21:58:56,2007-7-9,21:58:58,58948366,2007-7-9,21:58:51,,,
427,2007-7-9,23:15:49,2007-7-9,23:16:07,866230323,2007-7-9,23:15:32,,,
451,2007-7-13,08:54:44,2007-7-13,08:54:57,507313935,2007-7-13,08:54:29,,,
74,2007-7-13,18:40:00,2007-7-13,18:40:54,782763467,2007-7-13,18:39:47,,,
495,2007-7-16,03:14:57,2007-7-16,03:15:34,268504394,2007-7-16,03:14:55,,,
488,2007-7-16,12:28:19,2007-7-16,12:29:00,942999049,2007-7-16,12:27:55,,,
384,2007-7-17,00:49:04,2007-7-17,00:49:18,254110123,2007-7-17,00:48:39,,,
498,2007-7-17,01:38:38,2007-7-17,01:38:47,684873472,2007-7-17,01:38:19,,,
446,2007-7-17,14:58:28,2007-7-17,14:59:06,22910993,2007-7-17,14:58:00,,,
476,2007-7-19,03:02:54,2007-7-19,03:03:14,635215269,2007-7-19,03:02:48,,,
496,2007-7-19,11:46:57,2007-7-19,11:47:23,448726493,2007-7-19,11:46:29,,,
429,2007-7-19,15:00:41,2007-7-19,15:01:02,63711955,2007-7-19,15:00:33,,,
283,2007-7-20,03:02:56,2007-7-20,03:03:05,814363950,2007-7-20,03:02:24,,,
414,2007-7-21,13:08:38,2007-7-21,13:09:01,373802732,2007-7-21,13:08:17,,,
489,2007-7-22,06:39:00,2007-7-22,06:39:55,999185109,2007-7-22,06:38:41,,,
493,2007-7-22,16:51:16,2007-7-22,16:51:44,554808092,2007-7-22,16:50:55,,,
156,2007-7-24,06:13:43,2007-7-24,06:13:57,642188290,2007-7-24,06:13:32,,,
466,2007-7-24,11:42:49,2007-7-24,11:42:58,894911675,2007-7-24,11:42:15,,,
248,2007-7-24,15:15:23,2007-7-24,15:15:37,745493163,2007-7-24,15:14:50,,,
452,2007-7-24,17:14:38,2007-7-24,17:14:41,857235237,2007-7-24,17:14:04,,,
467,2007-7-25,16:18:26,2007-7-25,16:19:23,799000801,2007-7-25,16:18:15,,,
469,2007-7-26,04:03:41,2007-7-26,04:03:55,602744332,2007-7-26,04:03:39,,,
497,2007-7-28,07:31:06,2007-7-28,07:31:23,921991189,2007-7-28,07:30:32,,,
421,2007-7-31,19:58:05,2007-7-31,19:58:20,213943638,2007-7-31,19:57:52,,,
418,2007-7-31,20:10:34,2007-7-31,20:10:51,78589890,2007-7-31,20:10:02,,,
426,2007-8-2,04:44:23,2007-8-2,04:45:02,142340620,2007-8-2,04:44:13,,,
414,2007-8-2,13:26:31,2007-8-2,13:26:55,644492965,2007-8-2,13:26:11,,,
36,2007-8-2,18:30:57,2007-8-2,18:30:59,794346453,2007-8-2,18:30:36,,,
465,2007-8-2,18:59:18,2007-8-2,18:59:40,149936005,2007-8-2,18:58:56,,,
488,2007-8-2,22:25:51,2007-8-2,22:26:34,188856256,2007-8-2,22:25:38,,,
492,2007-8-4,04:36:23,2007-8-4,04:36:30,411909631,2007-8-4,04:36:07,,,
417,2007-8-4,05:39:34,2007-8-4,05:40:01,198692112,2007-8-4,05:39:22,,,
483,2007-8-5,07:06:40,2007-8-5,07:06:44,191990161,2007-8-5,07:06:24,,,
419,2007-8-5,08:04:06,2007-8-5,08:04:41,506628970,2007-8-5,08:03:35,,,
476,2007-8-5,16:29:30,2007-8-5,16:29:39,363743428,2007-8-5,16:29:15,,,
414,2007-8-6,17:43:24,2007-8-6,17:43:30,910128409,2007-8-6,17:43:24,,,
440,2007-8-6,23:20:45,2007-8-6,23:21:14,144064885,2007-8-6,23:20:22,,,
156,2007-8-8,16:08:22,2007-8-8,16:08:28,108028312,2007-8-8,16:08:16,,,
478,2007-8-11,02:07:34,2007-8-11,02:08:03,429489946,2007-8-11,02:07:09,,,
423,2007-8-12,05:27:27,2007-8-12,05:28:26,775590234,2007-8-12,05:27:24,,,
423,2007-8-12,15:42:01,2007-8-12,15:42:32,315004189,2007-8-12,15:41:58,,,
429,2007-8-12,15:55:02,2007-8-12,15:55:12,860795654,2007-8-12,15:54:44,,,
59,2007-8-16,18:39:01,2007-8-16,18:39:05,102044232,2007-8-16,18:38:56,,,
123,2007-8-18,14:42:36,2007-8-18,14:43:01,304031902,2007-8-18,14:42:01,,,
434,2007-8-19,03:04:59,2007-8-19,03:05:21,825065583,2007-8-19,03:04:33,,,
479,2007-8-19,04:14:40,2007-8-19,04:15:09,538848730,2007-8-19,04:14:06,,,
482,2007-8-20,20:34:25,2007-8-20,20:34:38,716700496,2007-8-20,20:34:24,,,
433,2007-8-21,00:17:41,2007-8-21,00:18:16,657557396,2007-8-21,00:17:14,,,
418,2007-8-21,17:28:22,2007-8-21,17:28:39,529755157,2007-8-21,17:28:17,,,
410,2007-8-21,17:49:39,2007-8-21,17:50:31,177093643,2007-8-21,17:49:25,,,
488,2007-8-23,10:49:51,2007-8-23,10:50:13,225983496,2007-8-23,10:49:42,,,
28,2007-8-23,12:07:13,2007-8-23,12:07:18,718722378,2007-8-23,12:06:53,,,
57,2007-8-23,22:07:21,2007-8-23,22:07:58,285676863,2007-8-23,22:07:17,,,
180,2007-8-24,16:01:32,2007-8-24,16:01:40,528227334,2007-8-24,16:01:15,,,
499,2007-8-25,09:20:17,2007-8-25,09:20:37,138539164,2007-8-25,09:19:56,,,
417,2007-8-27,03:09:01,2007-8-27,03:09:41,944760778,2007-8-27,03:08:32,,,
4,2007-8-28,08:27:17,2007-8-28,08:27:31,819566657,2007-8-28,08:26:58,,,
475,2007-8-30,13:44:18,2007-8-30,13:44:34,837883106,2007-8-30,13:44:12,,,
466,2007-8-31,17:18:30,2007-8-31,17:18:57,410062486,2007-8-31,17:17:58,,,
475,2007-9-1,21:39:05,2007-9-1,21:39:05,77695838,2007-9-1,21:39:04,,,
441,2007-9-2,03:32:38,2007-9-2,03:33:22,621675104,2007-9-2,03:32:19,,,
453,2007-9-2,23:57:32,2007-9-2,23:57:51,85476391,2007-9-2,23:57:30,,,
419,2007-9-3,13:15:53,2007-9-3,13:16:14,591369931,2007-9-3,13:15:50,,,
495,2007-9-3,17:15:39,2007-9-3,17:15:53,725517691,2007-9-3,17:15:31,,,
482,2007-9-4,03:03:51,2007-9-4,03:04:14,553855888,2007-9-4,03:03:28,,,
344,2007-9-4,17:52:35,2007-9-4,17:53:20,779910923,2007-9-4,17:52:25,,,
489,2007-9-5,00:03:25,2007-9-5,00:04:05,331940828,2007-9-5,00:03:07,,,
224,2007-9-5,07:39:44,2007-9-5,07:40:09,22960951,2007-9-5,07:39:09,,,
492,2007-9-5,16:06:32,2007-9-5,16:07:11,304031902,2007-9-5,16:06:12,,,
427,2007-9-5,23:46:22,2007-9-5,23:46:30,855123182,2007-9-5,23:46:04,,,
413,2007-9-6,09:11:07,2007-9-6,09:11:35,296181393,2007-9-6,09:10:35,,,
417,2007-9-6,21:57:39,2007-9-6,21:58:09,559313996,2007-9-6,21:57:18,,,
472,2007-9-6,23:33:19,2007-9-6,23:33:32,980844757,2007-9-6,23:33:07,,,
367,2007-9-7,19:17:09,2007-9-7,19:17:31,144064885,2007-9-7,19:16:37,,,
148,2007-9-10,14:43:07,2007-9-10,14:43:15,94896693,2007-9-10,14:42:41,,,
431,2007-9-11,08:24:50,2007-9-11,08:24:53,744930199,2007-9-11,08:24:31,,,
498,2007-9-11,09:39:43,2007-9-11,09:39:51,294907598,2007-9-11,09:39:35,,,
205,2007-9-11,11:53:33,2007-9-11,11:54:02,113330568,2007-9-11,11:53:32,,,
172,2007-9-12,10:17:11,2007-9-12,10:18:00,715096459,2007-9-12,10:16:49,,,
451,2007-9-13,05:42:45,2007-9-13,05:42:53,452218665,2007-9-13,05:42:24,,,
431,2007-9-13,16:12:21,2007-9-13,16:12:44,974448611,2007-9-13,16:12:08,,,
476,2007-9-14,14:09:25,2007-9-14,14:10:05,243012928,2007-9-14,14:09:15,,,
474,2007-9-14,17:43:15,2007-9-14,17:43:38,36227343,2007-9-14,17:43:02,,,
472,2007-9-15,08:42:24,2007-9-15,08:42:41,512278059,2007-9-15,08:42:06,,,
101,2007-9-15,12:17:11,2007-9-15,12:17:12,462604504,2007-9-15,12:16:50,,,
452,2007-9-17,06:17:09,2007-9-17,06:17:19,911125292,2007-9-17,06:16:47,,,
194,2007-9-17,16:10:42,2007-9-17,16:11:03,207981565,2007-9-17,16:10:37,,,
443,2007-9-17,23:24:52,2007-9-17,23:25:00,663731349,2007-9-17,23:24:50,,,
468,2007-9-18,08:53:23,2007-9-18,08:53:33,245756394,2007-9-18,08:53:08,,,
81,2007-9-18,22:26:51,2007-9-18,22:27:20,95766281,2007-9-18,22:26:50,,,
400,2007-9-19,05:19:01,2007-9-19,05:19:24,728311171,2007-9-19,05:18:41,,,
375,2007-9-19,05:21:57,2007-9-19,05:22:22,55992088,2007-9-19,05:21:34,,,
59,2007-9-19,05:24:33,2007-9-19,05:24:48,856642929,2007-9-19,05:24:29,,,
173,2007-9-21,12:48:51,2007-9-21,12:49:25,121507190,2007-9-21,12:48:17,,,
499,2007-9-23,14:05:10,2007-9-23,14:05:20,243604544,2007-9-23,14:04:35,,,
498,2007-9-24,01:35:12,2007-9-24,01:35:16,149322228,2007-9-24,01:35:08,,,
489,2007-9-24,04:35:09,2007-9-24,04:36:05,787154066,2007-9-24,04:34:52,,,
496,2007-9-24,20:58:09,2007-9-24,20:58:13,667152805,2007-9-24,20:58:00,,,
448,2007-9-25,20:23:25,2007-9-25,20:23:42,554808092,2007-9-25,20:23:04,,,
302,2007-9-25,20:40:56,2007-9-25,20:41:13,302429738,2007-9-25,20:40:35,,,
491,2007-9-27,02:16:46,2007-9-27,02:16:53,902383085,2007-9-27,02:16:36,,,
483,2007-9-27,09:55:04,2007-9-27,09:55:14,428748310,2007-9-27,09:54:29,,,
197,2007-9-27,15:38:50,2007-9-27,15:38:53,971435080,2007-9-27,15:38:30,,,
495,2007-9-28,21:48:35,2007-9-28,21:48:35,161095929,2007-9-28,21:48:09,,,
448,2007-9-29,10:37:16,2007-9-29,10:37:40,751299834,2007-9-29,10:36:41,,,
133,2007-9-29,11:32:10,2007-9-29,11:32:38,63711955,2007-9-29,11:31:50,,,
495,2007-9-30,17:34:12,2007-9-30,17:34:35,228842167,2007-9-30,17:33:48,,,
437,2007-10-1,03:48:08,2007-10-1,03:48:20,381093684,2007-10-1,03:47:42,,,
478,2007-10-1,23:27:37,2007-10-1,23:27:49,646187283,2007-10-1,23:27:19,,,
483,2007-10-2,14:57:35,2007-10-2,14:57:43,95694612,2007-10-2,14:57:02,,,
