AdID (Advertisements),Display_Date,Display_Time,internal
779910923,2007-9-4, 17:52:25,0
56432761,2008-5-19, 04:36:04,0
56432761,2008-6-22, 16:33:12,1
955671600,2009-4-10, 10:51:50,1
955671600,2009-9-17, 18:36:30,1
955671600,2009-10-2, 01:30:29,1
955671600,2009-10-30, 10:16:23,0
955671600,2009-11-30, 19:04:25,0
56432761,2010-6-9, 02:42:34,0
56432761,2011-1-28, 09:45:32,1
955671600,2011-3-11, 07:42:12,0
955671600,2011-5-27, 19:20:50,1
56432761,2011-8-5, 21:44:46,0
955671600,2011-11-19, 04:55:08,0
955671600,2011-12-13, 03:09:23,1
955671600,2012-8-18, 18:05:28,0
411909631,2007-8-4, 04:36:07,1
285676863,2007-8-23, 22:07:17,1
175294458,2008-4-23, 13:25:39,0
285676863,2008-6-28, 00:50:10,0
411909631,2008-8-8, 02:54:16,1
562113148,2008-8-28, 18:15:09,0
411909631,2008-11-25, 02:34:09,0
175294458,2009-5-5, 01:29:04,0
175294458,2009-6-19, 18:44:09,1
562113148,2009-8-15, 05:24:34,0
411909631,2009-12-3, 00:54:30,0
175294458,2010-2-5, 21:03:27,1
175294458,2010-2-21, 21:14:02,1
411909631,2010-4-12, 18:58:24,1
175294458,2010-8-3, 21:08:35,0
411909631,2010-8-4, 03:55:26,1
285676863,2011-3-25, 19:35:13,0
411909631,2011-9-3, 07:16:50,1
175294458,2011-12-4, 17:13:03,0
285676863,2012-1-8, 16:27:12,0
285676863,2012-5-24, 22:04:23,0
562113148,2012-6-17, 02:11:10,0
175294458,2012-8-25, 03:40:33,0
90827216,2007-10-21, 21:03:48,1
782942471,2007-11-21, 02:40:23,0
129225204,2008-1-26, 09:53:53,0
90827216,2008-7-21, 00:15:02,0
575007037,2008-8-10, 17:56:03,0
90827216,2009-1-13, 03:51:31,1
90827216,2009-2-5, 23:26:41,1
782942471,2009-4-9, 01:23:08,1
575007037,2009-7-10, 15:37:50,1
782942471,2010-4-2, 14:17:43,0
129225204,2010-7-25, 19:03:03,1
90827216,2010-10-13, 17:44:54,1
782942471,2010-11-19, 05:23:04,1
782942471,2010-12-10, 04:05:19,1
782942471,2011-1-4, 10:24:13,1
90827216,2011-7-24, 21:52:34,0
90827216,2011-12-29, 07:25:02,0
90827216,2012-2-9, 20:47:57,0
90827216,2012-3-13, 13:14:08,0
129225204,2012-5-3, 08:40:06,0
129225204,2012-5-18, 19:58:28,0
575007037,2012-6-16, 22:51:29,0
129225204,2012-9-18, 02:53:28,0
860795654,2007-7-7, 17:58:04,0
142340620,2007-8-2, 04:44:13,0
860795654,2007-8-12, 15:54:44,0
860795654,2008-1-19, 14:11:57,1
142340620,2008-4-26, 06:56:33,1
860795654,2008-8-8, 07:06:22,0
296973894,2008-8-11, 02:26:16,1
860795654,2008-8-30, 04:14:11,1
860795654,2008-11-1, 00:06:53,0
690706473,2009-1-2, 14:07:25,0
296973894,2009-1-30, 20:56:42,1
296973894,2010-3-16, 04:24:19,1
296973894,2010-5-3, 11:09:40,0
690706473,2010-5-8, 14:48:10,0
860795654,2010-10-10, 16:10:07,0
690706473,2011-3-24, 16:55:01,1
296973894,2011-9-12, 05:56:23,1
860795654,2011-9-19, 11:31:18,0
142340620,2011-12-11, 21:20:28,1
860795654,2012-1-1, 13:19:57,0
142340620,2012-1-24, 18:03:52,1
690706473,2012-2-6, 16:16:33,1
690706473,2012-2-7, 03:58:51,0
860795654,2012-8-23, 08:22:09,0
511170206,2007-10-24, 12:49:45,1
946260883,2007-11-23, 02:54:22,0
449368633,2008-8-18, 21:54:36,0
449368633,2008-8-28, 09:31:57,0
511170206,2008-9-16, 09:54:37,1
449368633,2008-12-11, 21:42:08,1
769723295,2009-2-15, 00:07:02,1
946260883,2009-4-29, 22:43:50,0
946260883,2009-5-13, 20:08:54,0
769723295,2009-5-23, 08:12:30,0
511170206,2009-6-8, 23:18:55,0
449368633,2009-6-27, 03:45:20,1
449368633,2009-9-4, 16:54:03,0
769723295,2009-9-17, 13:08:15,0
449368633,2009-10-22, 01:41:40,0
946260883,2010-2-15, 08:39:58,0
946260883,2010-5-21, 13:32:36,0
511170206,2011-5-13, 14:29:13,0
946260883,2011-7-6, 22:38:07,0
449368633,2011-9-3, 04:43:57,0
946260883,2011-9-13, 13:53:10,0
511170206,2011-9-17, 21:36:27,0
449368633,2012-2-14, 02:35:58,0
769723295,2012-4-6, 17:43:10,1
769723295,2012-6-28, 05:09:17,0
769723295,2012-8-28, 10:46:20,0
511170206,2012-10-3, 05:08:53,0
920290325,2007-9-9, 01:36:30,0
681501521,2007-11-30, 14:58:51,1
973233580,2007-12-8, 17:06:43,1
973233580,2007-12-23, 01:33:23,0
681501521,2008-1-31, 03:05:50,0
681501521,2008-10-24, 03:01:01,0
755143288,2009-3-9, 21:36:46,1
920290325,2009-9-4, 07:09:25,0
681501521,2009-11-13, 23:39:01,0
755143288,2009-11-24, 03:35:47,0
973233580,2010-2-1, 04:03:09,0
973233580,2010-2-3, 16:49:33,0
755143288,2010-5-4, 02:32:36,1
755143288,2010-8-3, 10:39:59,1
755143288,2010-10-26, 02:08:44,1
920290325,2011-5-17, 06:41:54,1
681501521,2011-7-19, 01:11:53,0
681501521,2011-8-6, 16:05:29,0
973233580,2011-9-15, 20:15:46,1
755143288,2011-12-9, 04:29:10,0
681501521,2012-1-9, 17:03:15,0
973233580,2012-1-31, 16:35:48,0
920290325,2012-4-18, 20:56:17,1
973233580,2012-9-3, 21:35:37,0
662716631,2007-8-11, 13:44:07,1
662716631,2007-12-29, 23:19:34,1
251344904,2008-4-2, 09:21:27,1
650089476,2008-5-17, 05:30:33,0
251344904,2008-6-29, 05:30:11,0
