category,year,Number of companies,Profit from Purchas by Men,Profit from Purchas by 18-25 age,Profit from Purchas by 26-40 age,Profit from Purchas by 41-65 age,Profit from Purchas by 66+ age,category_Id
Fashion,2007,5026,14379080478,9966239482,2283215191,7378717663,11125937880,1
Shoes,2007,16027,10396831516,9917644352,2873229907,7093055328,7782125758,2
Makeup & Beauty,2007,16156,18231100695,9845434126,2001943127,4660789193,2778120755,3
Wallets & Bags,2007,9522,13882706707,9057531600,8070864882,5242519065,4272016251,4
Tops,2007,10576,14689115565,4103012090,1589749919,8305315275,614998515,5
Bottoms,2007,8665,14538618920,8823693646,4140803902,11796511650,4215687494,6
Accessories,2007,14980,3393551316,4703411083,10330491818,10701313479,1286760893,7
Watches,2007,7778,3971446949,1841622967,3366055001,759086750,4884171858,8
Phone upgrade,2007,15247,2992291420,11275860579,7228516849,1339558947,1154618393,9
Home decor,2007,16112,15020756095,10565060292,1949991715,3549919824,11941492695,10
Gadgets,2007,19266,17168692650,5478327101,5450481371,4210257184,10490283049,11
Baby & Kids,2007,19237,15279856184,8830613149,10869260852,1737687807,9652300395,12
Hobbies,2007,19726,6295375447,4102629358,8697081831,3101826392,1027820015,13
Jewerly,2007,6901,6271796364,9005102447,1663123939,10030302204,8822226137,14
Pets,2007,9048,14393028901,8529218269,9019432265,4611727802,5959535102,15
Fashion,2008,8660,3042241427,5380597184,8680353186,2160196466,10881014762,1
Shoes,2008,11766,11636493695,4617216481,3614110248,4823846887,11115091467,2
Makeup & Beauty,2008,5390,1740561161,5320443858,3340166782,9487685629,5465094936,3
Wallets & Bags,2008,8270,14801594232,8508495146,6703963914,6358033762,9336627944,4
Tops,2008,19300,16159221302,10014189333,3249603397,2021039480,11926743240,5
Bottoms,2008,12901,19191313847,11453970308,7107807208,1911417279,11964177272,6
Accessories,2008,5479,5217865929,4539088411,11455433878,11227679348,4226085783,7
Watches,2008,11913,9755201431,3007449867,6931672678,2555865653,2626365974,8
Phone upgrade,2008,17690,17500540942,7846958202,11050526059,9955731375,3146606631,9
Home decor,2008,18143,10310044561,6802907349,7705359881,8472226068,11325212058,10
Gadgets,2008,5351,1114261186,652757469,5240643978,6306523352,7277884079,11
Baby & Kids,2008,15396,10555936846,909371541,9799070477,4975555849,11683468276,12
Hobbies,2008,7401,8984052580,861736809,2016959193,1757663964,3255246313,13
Jewerly,2008,10805,7226783424,5472055129,8665705396,3280635230,2509695517,14
Pets,2008,9792,9552499429,1597530671,3724370967,3429607588,6498466462,15
Fashion,2009,5643,9127162042,2022794687,2677384730,5841323125,5763167454,1
Shoes,2009,16368,2868902699,8498716270,6826786776,9712149871,11351042162,2
Makeup & Beauty,2009,19124,1317247419,5261770943,4620475251,9506719989,1371448452,3
Wallets & Bags,2009,8546,19845909314,10973996796,8264903270,9709175567,8779981380,4
Tops,2009,17715,12169673637,8426709866,7463620262,4103604291,8936051516,5
Bottoms,2009,17339,6290500826,3043181572,3264940199,8135221359,11344349646,6
Accessories,2009,7481,13609994913,8993902911,6183589327,9858780311,10206551873,7
Watches,2009,8945,19234521015,950245315,4156456361,1132751219,5840841610,8
Phone upgrade,2009,6669,2335635112,9046797798,11846628124,5004445188,10259121961,9
Home decor,2009,12695,15693492299,3776541781,9949122284,4545492697,7259090367,10
Gadgets,2009,7813,9281849887,4442715890,4486330708,6945408934,3807256937,11
Baby & Kids,2009,10110,11137810466,4701827648,5284515419,3619308707,5769214680,12
Hobbies,2009,8992,17340885487,10310320927,6409613192,909019759,10515725498,13
Jewerly,2009,17564,4710944029,10240612714,4784797411,8084997861,4285201631,14
Pets,2009,5135,11670949208,7137350996,5025343450,6660275928,3168022558,15
Fashion,2010,15146,13867815020,6418493010,8607584525,11294491475,1155345137,1
Shoes,2010,7832,4346395773,7780295935,4793275627,982965068,8297110627,2
Makeup & Beauty,2010,17938,5469287437,8282579395,6893720560,1240515017,11925737639,3
Wallets & Bags,2010,16039,13680301803,7160146851,6026031268,8442287315,3464124091,4
Tops,2010,9920,4532232214,9932719942,3570157640,3291399751,1495652486,5
Bottoms,2010,10738,4772348853,2874457856,3709467233,6324323377,4204452118,6
Accessories,2010,9222,5548471282,10878842053,4389732726,9607589834,4588765798,7
Watches,2010,14879,7727737105,7699807108,8457472165,6143000620,10052177883,8
Phone upgrade,2010,16226,9669448392,10462028047,7964160925,2543950835,7241630591,9
Home decor,2010,12099,14735432556,9032003436,5488405399,11094830346,6156775507,10
Gadgets,2010,10339,18398831154,9532024813,11654182393,1185945502,1984657521,11
Baby & Kids,2010,5023,17168823658,11083871486,9533987416,2646155697,4602276998,12
Hobbies,2010,19856,1750444960,962905833,4811299353,701369967,10412510055,13
Jewerly,2010,7138,6472608140,6562489403,3115080852,2742652860,5870076579,14
Pets,2010,18308,15098626925,1738279857,2775538333,11384780700,11221690164,15
Fashion,2011,18879,16251418841,3885545352,5686207457,1832016445,8692702590,1
Shoes,2011,5071,14915513844,6516041255,3482319406,3398469188,4228237289,2
Makeup & Beauty,2011,15861,12029833945,4037109798,10250796326,2913897755,8052307975,3
Wallets & Bags,2011,8692,2234204853,9910843947,6631755768,3698364755,6996295006,4
Tops,2011,6320,10083991145,2866159051,1962841713,5157591755,3841671096,5
Bottoms,2011,11900,15408927575,3915854843,4807158407,602567267,9700962145,6
Accessories,2011,19330,18496488163,3083353312,2916949398,10160032300,4364252800,7
Watches,2011,5813,12514295954,3261045072,7661804290,8230281807,5895108390,8
Phone upgrade,2011,13940,10558091117,3152857956,7884644285,7449385911,8486646972,9
Home decor,2011,15399,18482549979,11326055534,11795657555,3779714517,3557221626,10
Gadgets,2011,16261,13253574130,1032983527,9549500816,11559042295,7890424136,11
Baby & Kids,2011,16040,19053201506,7747708201,6386588479,2783609896,2507232515,12
Hobbies,2011,15175,1341621416,8119300055,7536680458,799113304,1543967224,13
Jewerly,2011,14869,16489781140,2943800626,629970053,4693301964,2885183648,14
Pets,2011,19284,5056407915,7212896148,8166234737,10960994636,5197425502,15
Fashion,2012,12053,17451740084,11872645515,11872276786,10587871749,11151216511,1
Shoes,2012,9774,10115925816,2168251090,7384253957,7710696916,10019626106,2
Makeup & Beauty,2012,13472,4613215324,6783932580,10229107678,8590725481,8593818249,3
Wallets & Bags,2012,16227,10461325845,8789528770,2010949689,2445260171,10594986517,4
Tops,2012,5961,9826115667,4902242226,8460159365,8646256855,7635063714,5
Bottoms,2012,14633,5074898112,691063656,10584498743,6797833142,1798479730,6
Accessories,2012,5818,18195257075,11622670967,2598137556,2686942673,713132800,7
Watches,2012,5398,11230544947,10483465747,1921853230,5689640722,2682748134,8
Phone upgrade,2012,9559,16822224261,5418429147,8734344434,4241953361,672029953,9
Home decor,2012,8891,13890734855,607486425,2531000562,9164203761,10242304729,10
Gadgets,2012,15647,17470534180,10158880003,3799265619,9959244193,2698901938,11
