category,year,Gender,Gender_Profit,age_bin,Age_profit
Fashion,2007,F,16375029738,,
Shoes,2007,F,17269223829,,
Makeup & Beauty,2007,F,1055186506,,
Wallets & Bags,2007,F,12760225091,,
Tops,2007,F,13144164243,,
Bottoms,2007,F,14438077772,,
Accessories,2007,F,23628425957,,
Watches,2007,F,6879489627,,
Phone upgrade,2007,F,18006263348,,
Home decor,2007,F,12985708431,,
Gadgets,2007,F,8460656055,,
Baby & Kids,2007,F,15810006019,,
Hobbies,2007,F,10633982149,,
Jewerly,2007,F,23248958363,,
Pets,2007,F,13726884537,,
Fashion,2008,F,24059920171,,
Shoes,2008,F,12533771388,,
Makeup & Beauty,2008,F,21872830044,,
Wallets & Bags,2008,F,16105526534,,
Tops,2008,F,11052354148,,
Bottoms,2008,F,13246058220,,
Accessories,2008,F,26230421491,,
Watches,2008,F,5366152741,,
Phone upgrade,2008,F,14499281325,,
Home decor,2008,F,23995660795,,
Gadgets,2008,F,18363547692,,
Baby & Kids,2008,F,16811529297,,
Hobbies,2008,F,6993200999,,
Jewerly,2008,F,12701307848,,
Pets,2008,F,5697476259,,
Fashion,2009,F,7177507954,,
Shoes,2009,F,33519792380,,
Makeup & Beauty,2009,F,19443167216,,
Wallets & Bags,2009,F,17882147699,,
Tops,2009,F,16760312298,,
Bottoms,2009,F,19497191950,,
Accessories,2009,F,21632829509,,
Watches,2009,F,10156842490,,
Phone upgrade,2009,F,33821357959,,
Home decor,2009,F,9836754830,,
Gadgets,2009,F,10399862582,,
Baby & Kids,2009,F,8237055988,,
Hobbies,2009,F,10803793889,,
Jewerly,2009,F,22684665588,,
Pets,2009,F,10320043724,,
Fashion,2010,F,13608099127,,
Shoes,2010,F,17507251484,,
Makeup & Beauty,2010,F,22873265174,,
Wallets & Bags,2010,F,11412287722,,
Tops,2010,F,13757697605,,
Bottoms,2010,F,12340351731,,
Accessories,2010,F,23916459129,,
Watches,2010,F,24624720671,,
Phone upgrade,2010,F,18542322006,,
Home decor,2010,F,17036582132,,
Gadgets,2010,F,5957979075,,
Baby & Kids,2010,F,10697467939,,
Hobbies,2010,F,15137640248,,
Jewerly,2010,F,11817691554,,
Pets,2010,F,12021662129,,
Fashion,2011,F,3845053003,,
Shoes,2011,F,2709553294,,
Makeup & Beauty,2011,F,13224277909,,
Wallets & Bags,2011,F,25003054623,,
Tops,2011,F,3744272470,,
Bottoms,2011,F,3617615087,,
Accessories,2011,F,2028099647,,
Watches,2011,F,12533943605,,
Phone upgrade,2011,F,16415444007,,
Home decor,2011,F,11976099253,,
Gadgets,2011,F,16778376644,,
