replication,existing situation,alternative1,alternative2
1,0.3451002,0.364976,0.4093835
2,0.3363596,0.4827269,0.513186
3,0.4153714,0.3946841,0.4088271
4,0.3613321,0.4341602,0.4149917
5,0.2866811,0.3734401,0.4767961
6,0.2595559,0.3864774,0.3338654
7,0.2779715,0.4899041,0.428089
8,0.3567676,0.425141,0.4668672
9,0.3388361,0.3612702,0.4309376
10,0.3218931,0.2921777,0.3367632
11,0.4449262,0.2521398,0.2245066
12,0.338471,0.3304792,0.5590216
13,0.5214882,0.404832,0.3261986
14,0.4544341,0.3732125,0.3055733
15,0.3158112,0.4043262,0.4119692
16,0.2190608,0.5074223,0.3289518
17,0.4126715,0.326737,0.5319125
18,0.3510872,0.4200545,0.4505561
19,0.3347455,0.4300014,0.2903041
20,0.3593848,0.5166292,0.5489167
21,0.4406524,0.4113672,0.5026666
22,0.4016998,0.3056205,0.3326751
23,0.332937,0.3140492,0.4768432
24,0.311063,0.5547628,0.3488079
25,0.4722784,0.3636074,0.3880564
26,0.3907125,0.3137459,0.486391
27,0.3809098,0.3014006,0.5230918
28,0.390025,0.337387,0.3402378
29,0.4250041,0.4271242,0.4561597
30,0.3088889,0.3938047,0.4712332
