replication,existing situation,alternative1,alternative2
1,0.3451002,0.364976,0.4093835
2,0.3363596,0.4827269,0.513186
3,0.4153714,0.3946841,0.4088271
4,0.3613321,0.4341602,0.4149917
5,0.2866811,0.3734401,0.4767961
6,0.2595559,0.3864774,0.3338654
7,0.2779715,0.4899041,0.428089
8,0.3567676,0.425141,0.4668672
9,0.3388361,0.3612702,0.4309376
10,0.3218931,0.2921777,0.3367632
11,0.4449262,0.2521398,0.2245066
12,0.338471,0.3304792,0.5590216
13,0.5214882,0.404832,0.3261986
14,0.4544341,0.3732125,0.3055733
15,0.3158112,0.4043262,0.4119692
16,0.2190608,0.5074223,0.3289518
17,0.4126715,0.326737,0.5319125
18,0.3510872,0.4200545,0.4505561
19,0.3347455,0.4300014,0.2903041
20,0.3593848,0.5166292,0.5489167
21,0.4406524,0.4113672,0.5026666
22,0.4016998,0.3056205,0.3326751
23,0.332937,0.3140492,0.4768432
24,0.311063,0.5547628,0.3488079
25,0.4722784,0.3636074,0.3880564
26,0.3907125,0.3137459,0.486391
27,0.3809098,0.3014006,0.5230918
28,0.390025,0.337387,0.3402378
29,0.4250041,0.4271242,0.4561597
30,0.3088889,0.3938047,0.4712332
31,0.271888,0.4223909,0.3969199
32,0.2958744,0.4250952,0.3792107
33,,0.3653716,0.3779149
34,,0.3484522,0.4870907
35,,0.3500044,0.470887
36,,0.2951811,0.4699388
37,,0.3196139,0.2946739
38,,0.3121431,0.4981835
39,,0.4228468,0.407634
40,,0.288449,0.5750494
41,,0.376362,0.4941129
42,,0.3370044,0.2809268
43,,0.4413838,0.4497479
44,,0.386798,0.2988617
45,,0.2651922,0.5308237
46,,0.3681542,0.3325058
47,,0.4321561,0.3711889
48,,0.3874991,0.3804432
49,,0.3092192,0.3558293
50,,0.4294945,0.4668758
51,,0.3736432,0.3766283
52,,0.3690165,0.4329606
53,,0.3063833,0.5205945
54,,0.3345733,0.4361888
55,,0.2723239,0.3106976
56,,0.3446805,0.3035225
57,,0.3017535,0.4324632
58,,0.3894545,0.3516381
59,,0.3630398,0.2724253
60,,0.3279501,0.3301267
61,,0.3592802,0.3240045
62,,0.3535597,0.3958268
63,,0.3648047,0.2526072
64,,0.4721827,0.4063611
65,,0.2852328,0.4003771
66,,0.2572139,0.3504462
67,,0.3465762,0.3728533
68,,0.4027317,0.3968988
69,,0.3172002,0.4064465
70,,0.3730821,0.4035593
71,,0.3981906,0.3601809
72,,0.4275429,0.355205
73,,0.3496924,0.2829188
74,,0.3608027,0.2930683
75,,0.3619206,0.3736687
76,,0.4193545,0.5051631
77,,0.3516225,0.3717393
78,,0.5010282,0.5553166
79,,0.2539226,0.4146131
80,,0.3392086,0.3110103
81,,0.385732,0.3509447
82,,0.4524976,0.3163685
83,,0.3546078,0.3945155
84,,0.3162141,0.3977882
85,,0.2681112,0.2522341
86,,0.3314634,0.3660768
87,,0.4484748,0.4095952
