replication,existing situation,alternative1,alternative2
1,130,50,46
2,,49,46.5
3,150,43,46
4,149,40.66667,54
5,,55,37.5
6,139,44,47
7,127,47,55
8,150,44.66667,52
9,124,53.5,50
10,129,43,50
11,,42,35
12,143,44,40
13,137,48,43.5
14,137,39.66667,41
15,,46.33333,39
16,,41.75,40
17,141,51.5,46
18,,45,52.5
19,135.5,49.66667,42
20,134,45,44.5
21,143,44.33333,60
22,145.5,42.5,49
23,,49.5,48
24,131,45.25,42
25,,42,49.5
26,127,48,39
27,138,54,34.66667
28,127,37,40.5
29,133.5,42.66667,45.5
30,143,39,37.5
