replication,existing situation,alternative1,alternative2
1,130,50,46
2,,49,46.5
3,150,43,46
4,149,40.66667,54
5,,55,37.5
6,139,44,47
7,127,47,55
8,150,44.66667,52
9,124,53.5,50
10,129,43,50
11,,42,35
12,143,44,40
13,137,48,43.5
14,137,39.66667,41
15,,46.33333,39
16,,41.75,40
17,141,51.5,46
18,,45,52.5
19,135.5,49.66667,42
20,134,45,44.5
21,143,44.33333,60
22,145.5,42.5,49
23,,49.5,48
24,131,45.25,42
25,,42,49.5
26,127,48,39
27,138,54,34.66667
28,127,37,40.5
29,133.5,42.66667,45.5
30,143,39,37.5
31,137.5,46.66667,45
32,136,43,45.5
33,129,50.5,52.5
34,128,47,48.5
35,,44,54
36,,50,43
37,,42,55
38,,42,55
39,,43.66667,41
40,,45.5,51.33333
41,,49.33333,40.5
42,,45,38
43,,48.33333,43
44,,48.33333,38
45,,51,42
46,,41,58
47,,38.66667,49
48,,45.66667,49.5
49,,47,41
50,,52,50.5
51,,47.33333,49.5
52,,47.33333,40
53,,46,46.66667
54,,52,40.5
55,,50.5,47
56,,46.5,46
57,,55.5,49
58,,43.66667,54
59,,35.5,50
60,,41.5,48
61,,50.5,45
62,,47,46.5
63,,49,52
64,,47.33333,50
65,,49.5,42
66,,47,46
67,,40,55
68,,46.33333,47
69,,45.5,47
70,,42.5,49
71,,47,49
72,,39.5,43
73,,46.5,49
74,,43,44
75,,39.5,43.5
76,,45,52
77,,50.5,47.5
78,,41,45
79,,52,40
80,,51.5,56
81,,47,44
82,,47.33333,52
83,,39,41.5
84,,46.5,48
85,,48,43
86,,47,52
87,,42,50.5
88,,44,55
89,,37,51
90,,49.5,42
91,,43.5,41
92,,52.5,39
93,,40,43
94,,52.33333,44.5
95,,50.66667,39
96,,45,54.5
97,,45,48.5
98,,45.33333,44
99,,50,41
100,,48,43.5
101,,46.5,42
102,,45,43
103,,43,48.5
104,,53.5,41
105,,46.66667,45.5
106,,47,45.5
107,,43,48.5
108,,45.5,
109,,50,
110,,45.5,
111,,51.5,
112,,46.33333,
113,,45.33333,
114,,44.5,
115,,50.66667,
116,,44.5,
117,,53,
118,,40,
119,,53,
120,,41.33333,
121,,48.5,
122,,49,
123,,41.66667,
124,,47,
125,,39,
126,,44.66667,
127,,49,
128,,41.75,
129,,47.33333,
130,,59.5,
131,,49.25,
132,,50,
133,,55,
134,,45,
135,,47,
136,,39,
137,,45.5,
138,,46.5,
139,,45.66667,
140,,52.5,
141,,34,
142,,38,
143,,45,
144,,53,
145,,48.33333,
146,,54,
147,,52,
148,,44.66667,
149,,43,
150,,47,
151,,45.5,
152,,45,
153,,52.5,
154,,41,
155,,49.75,
156,,42,
157,,40.5,
158,,53.5,
159,,46.5,
160,,49,
161,,45,
162,,35,
163,,47,
164,,48,
165,,47.5,
166,,43.5,
167,,47,
168,,46.33333,
169,,49.5,
170,,35.5,
171,,49.66667,
172,,51,
173,,44.33333,
174,,49.33333,
175,,44.5,
176,,54.66667,
177,,41.5,
178,,47.5,
179,,51.33333,
180,,45,
181,,48.33333,
182,,51,
183,,41.33333,
184,,46,
185,,47,
186,,45,
187,,47.5,
188,,36,
189,,40.5,
190,,38.5,
191,,44,
192,,50.5,
193,,48,
194,,54.66667,
195,,43.66667,
196,,40,
197,,49,
198,,48.5,
199,,46,
200,,44.33333,
201,,44,
202,,41.66667,
203,,42.5,
204,,43,
205,,48.5,
206,,54,
207,,55.5,
208,,48.5,
209,,49.33333,
210,,49,
211,,48,
212,,35,
213,,45.33333,
214,,44,
215,,45,
216,,39,
217,,49.33333,
218,,49.66667,
219,,44,
220,,46,
221,,46,
222,,46.5,
223,,54.5,
224,,44,
225,,45.33333,
226,,48,
227,,46,
228,,42.5,
229,,45.5,
230,,38.33333,
231,,49,
232,,50.5,
233,,46.25,
234,,59,
235,,41.5,
236,,54,
237,,44,
238,,49.5,
239,,50,
240,,45.66667,
241,,42,
242,,53.66667,
243,,45.5,
244,,48,
245,,51.5,
246,,46.66667,
247,,45.66667,
248,,41,
249,,53.5,
250,,44.5,
,,44,
,,44,
,,37.66667,
,,46,
,,38,
,,39.66667,
,,46.33333,
,,42.66667,
,,41,
,,45,
,,49,
,,43,
,,50,
,,50.66667,
,,47,
,,45.5,
,,43.66667,
,,40.66667,
,,48.5,
,,44,
,,45,
