replication,existing situation,alternative1,alternative2
1,-11369.75,-8768,-4753
2,-14469.25,-4411.25,-6684
3,-12793,-4401,-6722
4,-14220,-4700,-6454
5,-14524.25,-4572,-6139
6,-12603,-3860,-12112
7,-10003,-1457,-7546
8,-11683.75,-5241,-8821
9,-13767.5,-7306,-10520.25
10,-13146,-8462,-8239
11,-15065,-12061,-10634
12,-11438,-8833,-4324
13,-11736.75,-4154,-7042
14,-12514.5,-5116,-11331
15,-15802.25,-4598,-6602
16,-16324.75,88,-10079
17,-11109.75,-8944,-1720
18,-13625,-6757,-7726
19,-10695,-2940,-12211
20,-13051,-628,-5412
21,-11944.5,-4102,-7249
22,-10073.75,-6075,-11652.5
23,-14946,-8285,-7335
24,-12582.75,11,-6656
25,-14316.25,-7099,-6635
26,-10613.75,-6260,-6753.5
27,-12853.25,-8756,-3237
28,-13338.5,-7763,-7062
29,-9560.75,-3192,-8092
30,-10611,-4280,-6559
31,-9652,-4788,-6567
32,-13477.25,-4199,-6934
33,,-7284,-8082
34,,-8559,-7423
35,,-8504,-6474
36,,-8618,-6668
37,,-6680,-11341
38,,-9123,-5667
39,,-4691,-6144
40,,-7475,-4329
41,,-4918,-7358
42,,-8908,-12098
43,,-3007,-7481
44,,-4496,-10276
45,,-10777,-3162
46,,-8184,-8316
47,,-3630,-7923
48,,-3917,-6588
49,,-6187,-6707
50,,-5003,-7806
51,,-4840,-7533
52,,-3296,-6841
53,,-6646,-2654
54,,-7029,-7797
55,,-8418,-12910
56,,-7512,-12334
57,,-8301,-6978
58,,-5382,-11350
59,,-7449,-11163
60,,-7751,-11105
61,,-7230,-10511
62,,-8103,-7123
63,,-8250,-10506
64,,-4762,-5738
65,,-7519,-6590
66,,-11661,-11798
67,,-7892,-6636
68,,-2583,-6699
69,,-7736,-7701
70,,-7767,-6758
71,,-4064,-7405
72,,-6699.25,-8263
73,,-7058,-10728
74,,-7594,-11241
75,,-8521,-5902
76,,-4203,-7644
77,,-7157,-6950
78,,176,-2871
79,,-11175,-7191
80,,-8057,-12036
81,,-5447,-9738
82,,-4071,-10981
83,,-5953,-7514
84,,-6745,-8171
85,,-11344,-10398
86,,-7898,-7010
87,,-3378,-8342
88,,-7858,-11528
89,,-7809,-8131.25
90,,-7137,-8494
91,,-8289.25,-7465
92,,-7742,-7089
93,,-10445,-10759.5
94,,-4995,-8272
95,,-2767,-6129
96,,-4630,-6387
97,,-12060,-6994
98,,-3173,-11304
99,,-4297,-7857
100,,-7592,-6326
101,,-8802,-8293
102,,-3800,-11071
103,,-5026,-8642
104,,-8341,-12112
105,,-3818,-6376
106,,-11599,-6738
107,,-11642,-8231
108,,-7798,
109,,-7906,
110,,-6078,
111,,-8081,
112,,-4114,
113,,-5409,
114,,-8168,
115,,-4066,
116,,-6660.25,
117,,-7297,
118,,-7442,
119,,-5174,
120,,-3870,
121,,-7827,
122,,-7232,
123,,-4359,
124,,-4364,
125,,-3079,
126,,-4520,
127,,-7201,
128,,238,
129,,-4521,
130,,-7428,
131,,-811,
132,,-6568,
133,,-8550.25,
134,,-3753,
135,,-4546,
136,,-7631,
137,,-6387,
138,,-8439,
139,,-2671,
140,,-7973,
141,,-8944,
142,,-7454,
143,,-13052,
144,,-7316,
145,,-5092,
146,,-12655,
147,,-8142,
148,,-2776,
149,,-10612,
150,,-6029,
151,,-6558,
152,,-54,
153,,-1106,
154,,-7430,
155,,-213,
156,,-7512,
157,,-6495,
158,,-7664,
159,,1260,
160,,-4311,
161,,-7816,
162,,-8023,
163,,-12471.75,
164,,-8624,
165,,-8729,
166,,-8018,
167,,-7439,
168,,-5301,
169,,-8271.75,
170,,-8875,
171,,-4154,
172,,-7872,
173,,-4223,
174,,-3340,
175,,-8001,
176,,-4591,
177,,-9161,
178,,-7670,
179,,-4677,
180,,-8119,
181,,-3289,
182,,-7956,
183,,-3512,
184,,1255,
185,,-2661,
186,,-3555,
187,,-7870,
188,,-11141,
189,,-7698,
190,,-9163,
191,,-8331,
192,,-6723,
193,,-4968,
194,,-4851,
195,,-3873,
196,,-776,
197,,-3948,
198,,-6688,
199,,-6888,
200,,-2984,
201,,-3660,
202,,-4138,
203,,-8137,
204,,-4568,
205,,-8992,
206,,-7995,
207,,-7346,
208,,-6920,
209,,-3146,
210,,-7738,
211,,-10913,
212,,-11984,
213,,-6081,
214,,-4785,
215,,-8464,
216,,-3581,
217,,-5865,
218,,-5244,
219,,-9900,
220,,-7836,
221,,-7572,
222,,-10011,
223,,-6590,
224,,-4401,
225,,-3763,
226,,-7540,
227,,-3100,
228,,-7688,
229,,-8000,
230,,-4639,
231,,-3419,
232,,-7151,
233,,-1082,
234,,-12263,
235,,-5830,
236,,-3803,
237,,-8779,
238,,-8020,
239,,-7460,
240,,-4294,
241,,-8188,
242,,-3909,
243,,-1050,
244,,-3385,
245,,-7365,
246,,-3797,
247,,-3107,
248,,-8196,
249,,-8891,
250,,-8687,
251,,-12066,
252,,-11107,
253,,-2925,
254,,-3935,
255,,-3652,
256,,-3830,
257,,-4193,
258,,-4116,
259,,-4188,
260,,-10533,
261,,-5465,
262,,-4447,
263,,-8238,
264,,-3226,
265,,-7458,
266,,-26,
267,,-4517,
268,,-3390,
269,,-7857.5,
270,,-3598,
271,,-6695,
